CO,NOX,CLUSTER
0.007397350668828826,0.5962129673953515,1
0.010145713932512663,0.6007340035104517,1
0.010227341749930877,0.6156161906281582,1
0.005230585604249768,0.6020956332109993,1
0.006055933535922829,0.5970214350300515,1
0.005313573885291621,0.5940428700601033,1
0.010061365187847175,0.6242965799691507,1
0.018129821451763162,0.620052124886974,1
0.015635638141762154,0.6177650124993351,1
0.023302757636705255,0.6036806552842934,1
0.023150839198732467,0.5962129673953515,1
0.021371352779015387,0.5040263815754481,1
0.023636071224496298,0.4750066485825223,1
0.030565365947553644,0.4809318653263124,1
0.02422107058266017,0.4702090314344981,1
0.004874824366668715,0.44157225679485135,0
0.0053364750229561745,0.442370086697516,0
0.014269732663630692,0.4357002287112387,0
0.013015158458700186,0.44099781926493276,0
0.011830194642512434,0.5981809478219243,1
0.02643409141044288,0.6276581032923779,1
0.010581742523888294,0.6068400616988459,1
0.015384859347138416,0.6033615233232275,1
0.01533905707180931,0.6185309292058933,1
0.02045485378455865,0.6292963140258498,1
0.014861080852038208,0.6067975107707038,1
0.02382880357117819,0.6121163767884688,1
0.017353676954478304,0.5999148981437157,1
0.015372615174525687,0.60049997340567,1
0.01611701552059235,0.581979681931812,1
0.01896673332423714,0.5674910908994202,1
0.02142985271483177,0.5192808893143982,1
0.03025699419286261,0.5580660603159406,1
0.039544425863557275,0.5577682038189459,1
0.0418390745087582,0.5472687622998776,1
0.026116649898260933,0.5525025264613584,1
0.030399842873344487,0.553438646880485,1
0.00887934904284397,0.43613637572469544,0
0.006854979170872242,0.4431785543322164,0
0.006480398186497546,0.4359023456199139,0
0.007195095076781471,0.42422211584490177,0
0.004837184873081427,0.4327535769373969,0
0.03378286241745494,0.47170895165150795,1
0.025572464448806172,0.537822456252327,1
0.021915311484532875,0.5432157863943408,1
0.01909325644123537,0.5207701717993724,1
0.016841008912304462,0.519557470347322,1
0.011994583997035232,0.5216211903622148,1
0.012167816365111661,0.5120259560661666,1
0.012789548241113731,0.5156853358863891,1
0.012804513340973739,0.516727833625871,1
0.011964427053377944,0.5346736875698102,1
0.014918220324230957,0.5298973458858571,1
0.004448999252470361,0.4460932929099516,0
0.007954233778770869,0.4466145417796925,0
0.009535319253374235,0.45322057337375676,1
0.010984893244359367,0.45114621562682833,1
0.011566944931338693,0.4571246210307962,1
0.010565643704341926,0.4417105473113132,0
0.009101784845308606,0.45981596723578533,1
0.0055670736071626314,0.44733790755810854,0
0.005418102840374389,0.457784160416999,1
0.00582442797596728,0.461635019413861,1
0.0059412011036627825,0.4525397585234827,1
0.005535556199881709,0.4551779160682943,1
0.02023128426240765,0.5863305143343439,1
0.023756245511250895,0.5999468113398223,1
0.016948258794634505,0.5922450933460985,1
0.01554426033504121,0.5983298760704219,1
0.014786255352738175,0.6056273602467954,1
0.01753189768917474,0.604999734056699,1
0.01733485720768466,0.6002872187649593,1
0.01469238336270723,0.6007340035104517,1
0.014212593191437943,0.6010637732035529,1
0.012575728708265465,0.5474070528163395,1
0.001148038339258936,0.4356576777830966,0
0.015701167139634,0.4386468804850806,0
0.023112292729396088,0.458443699803202,1
0.030100540876144367,0.472634434338599,1
0.0039721567523856235,0.4357002287112387,0
0.020870475421579725,0.6318068187862347,1
0.02690571879997035,0.6281580766980479,1
0.031243330319999374,0.6299452156800169,1
0.02509856961990598,0.539928727195362,1
0.022528653834855854,0.6171480240412744,1
0.02450676794362392,0.6238817084197649,1
0.022731362914777748,0.6245518855380033,1
0.023862815161769118,0.615956598053295,1
0.02331636227294162,0.597170363278549,1
0.021496288688452703,0.600382958353279,1
0.02314176944124155,0.6008297430987715,1
0.025833219976669913,0.6031381309504813,1
0.02447502379240573,0.6009680336152332,1
0.011879398076900636,0.4834210946226264,1
0.008123838243850937,0.40404233817350144,0
0.010679015672978335,0.4284772086591139,0
0.011152003526129434,0.44631668528269774,0
0.011003486247215737,0.43244508270836657,0
0.01167124714248419,0.44651880219137274,0
0.01593698083439773,0.4441572256794851,0
0.0169566483203136,0.36965055050263274,0
0.0016502308115307752,0.3241529705866708,0
0.010083359349762639,0.5926067762353067,1
0.004795010500748683,0.5946598585181639,1
0.009364807812545076,0.6137226743258337,1
0.013662285655676811,0.6224988032551458,1
0.007191013685910561,0.6077017179937239,1
0.012226316300928049,0.6255199191532366,1
0.018182879533085002,0.6207967661294611,1
0.024066884705314658,0.625530556885272,1
0.02191553822847015,0.6247114515185362,1
0.02148925962639725,0.6238497952236582,1
0.01738814203294377,0.6209456943779587,1
0.0048188186141623285,0.4346045423115792,0
0.006448427291342079,0.4211478112866337,0
0.007006217377033214,0.417179937237381,0
0.009679981885354294,0.4267964469975002,0
0.016485020930786135,0.43044518908568696,0
0.01966102326016651,0.44063613637572463,0
0.011864886464915177,0.46152864209350564,1
0.009704243486642485,0.44046593266315626,0
0.014558831183653538,0.4442529652678049,0
0.01878125678354797,0.4249880325514601,0
0.009163685940184085,0.41435030051593014,0
0.004125208910044776,0.39662783894473697,0
0.004310912194671214,0.39333014201372274,0
0.012887955109890136,0.5944577416094887,1
0.012468025338060877,0.6037444816765065,1
0.01768971146951662,0.6110845167810223,1
0.011244515052536744,0.5995638529865434,1
0.012527885737500898,0.6013935428966544,1
0.018200338816255008,0.6145098664964631,1
